Fair,https://www.weather.gov/images/nws/newicons/skc.png,https://www.weather.gov/images/nws/newicons/nskc.png,
Clear,https://www.weather.gov/images/nws/newicons/skc.png,https://www.weather.gov/images/nws/newicons/nskc.png,
Fair with Haze,https://www.weather.gov/images/nws/newicons/skc.png,https://www.weather.gov/images/nws/newicons/nskc.png,
Clear with Haze,https://www.weather.gov/images/nws/newicons/skc.png,https://www.weather.gov/images/nws/newicons/nskc.png,
Fair and Breezy,https://www.weather.gov/images/nws/newicons/skc.png,https://www.weather.gov/images/nws/newicons/nskc.png,
Clear and Breezy,https://www.weather.gov/images/nws/newicons/skc.png,https://www.weather.gov/images/nws/newicons/nskc.png,
A Few Clouds,https://www.weather.gov/images/nws/newicons/few.png,https://www.weather.gov/images/nws/newicons/nfew.png,
A Few Clouds with Haze,https://www.weather.gov/images/nws/newicons/few.png,https://www.weather.gov/images/nws/newicons/nfew.png,
A Few Clouds and Breezy,https://www.weather.gov/images/nws/newicons/few.png,https://www.weather.gov/images/nws/newicons/nfew.png,
Partly Cloudy,https://www.weather.gov/images/nws/newicons/sct.png,https://www.weather.gov/images/nws/newicons/nsct.png,
Partly Cloudy with Haze,https://www.weather.gov/images/nws/newicons/sct.png,https://www.weather.gov/images/nws/newicons/nsct.png,
Partly Cloudy and Breezy,https://www.weather.gov/images/nws/newicons/sct.png,https://www.weather.gov/images/nws/newicons/nsct.png,
Mostly Cloudy,https://www.weather.gov/images/nws/newicons/bkn.png,https://www.weather.gov/images/nws/newicons/bkn.png,
Mostly Cloudy with Haze,https://www.weather.gov/images/nws/newicons/bkn.png,https://www.weather.gov/images/nws/newicons/bkn.png,
Mostly Cloudy and Breezy,https://www.weather.gov/images/nws/newicons/bkn.png,https://www.weather.gov/images/nws/newicons/bkn.png,
Overcast,https://www.weather.gov/images/nws/newicons/ovc.png,https://www.weather.gov/images/nws/newicons/novc.png,
Overcast with Haze,https://www.weather.gov/images/nws/newicons/ovc.png,https://www.weather.gov/images/nws/newicons/novc.png,
Overcast and Breezy,https://www.weather.gov/images/nws/newicons/ovc.png,https://www.weather.gov/images/nws/newicons/novc.png,
Snow,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Snow,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Snow,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Snow Showers,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Snow Showers,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Snow Showers,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Showers Snow,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Showers Snow,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Showers Snow,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Snow Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Snow Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Snow Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Snow Showers Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Snow Showers Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Snow Showers Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Showers Snow Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Showers Snow Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Showers Snow Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Snow Fog,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Snow Fog,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Snow Fog,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Snow Showers Fog,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Light Snow Showers Fog,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Heavy Snow Showers Fog,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Showers in Vicinity Snow,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Snow Showers in Vicinity,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
Snow Showers in Vicinity Fog/Mist,https://www.weather.gov/images/nws/newicons/sn.png,https://www.weather.gov/images/nws/newicons/nsn.png,
